parent_station,stop_lon,stop_id,stop_name,stop_lat,location_type
,38.7593176,node/7041071637,Yeatit 12 Hospital,9.0436921,0
,38.7527639,node/7041071638,Red-Cross (St. George Total),9.0386136,0
,38.7517494,node/7041071639,St. George Church (Total),9.0386684,0
,38.7488778,node/7041071640,Semen Hotel,9.0436522,0
,38.7482928,node/7041071641,Semen Hotel,9.0446929,0
,38.7461719,node/7041071642,Kelemwerk,9.0486023,0
,38.7458026,node/7041071643,Kelemwerk,9.0488673,0
,38.7443439,node/7041071645,Tibeb Ediget School,9.0512494,0
,38.7433813,node/7041071646,Semen Mazegaga,9.0523631,0
,38.7424925,node/7041071647,Semen Mazagaja,9.0537306,0
,38.7200104,node/7041071648,Shegole Bank,9.0541015,0
,38.7277601,node/7041071649,Pawlos Hospital,9.0474202,0
,38.7221677,node/7041071650,Finance,9.0514832,0
,38.7220512,node/7041071651,Medhanialem (TOTAL),9.0513651,0
,38.7201878,node/7041071653,Finance,9.0528369,0
,38.7199027,node/7041071654,Finance,9.0531245,0
,38.7149847,node/7041071655,Winget Chaf,9.0544244,0
,38.7088754,node/7041071657,4 Menta Adebabay,9.0520588,0
,38.6987792,node/7041071658,Mikili Land,9.051327,0
,38.7137033,node/7041071659,Winget Adebabay,9.0571703,0
,38.7116367,node/7041071660,Awolia,9.0576087,0
,38.7067279,node/7041071661,Gulele Fana,9.0577975,0
,38.7065488,node/7041071662,Gulele Fana,9.0582376,0
,38.7034077,node/7041071663,Berchiko,9.0593548,0
,38.69045,node/7041071665,Gebriel (Sansusi),9.0665816,0
,38.7791204,node/7041071718,Bono Weha,9.057952,0
,38.7722233,node/7041071719,Mezan,9.053538,0
,38.7690705,node/7041071721,3rd Shaleka,9.0470252,0
,38.7615547,node/7041071723,6 Kilo (University),9.0461753,0
,38.7622054,node/7041071725,Meksaye Hizunan Medhanialem,9.0513004,0
,38.7622236,node/7041071726,Teferi Mekonen,9.052326,0
,38.7625698,node/7041071729,Sebseba Maekel,9.0541533,0
